Place,Name,Latitude,Longitude,Junior
Aberbeeg,Ebbw Valley Cycle Track,-3.14428600,51.71116500,0
Aberdare,Aberdare Park,-3.46008900,51.71879600,0
Aberdeen,Aberdeen Beach Esplanade,-2.08625600,57.17389800,0
Aberystwyth,Plascrug Park,-4.08040100,52.41454600,0
Abingdon,"Rye Meadow, Abingdon",-1.27742900,51.66795700,0
Agnew,Agnew Park,-5.03490000,54.90818800,0
Albert,"Albert Park, Middlesbrough",-1.23178800,54.56497200,0
Aldenham,Aldenham Country Park,-0.31650700,51.64795300,0
Alderford Lake,Alderford Lake,-2.67543600,52.95318100,0
"Alexandra, Moss Side",Alexandra Park,-2.24882700,53.45014200,0
Alice Holt,Alice Holt Forest,-0.83814000,51.16860700,0
Ally Pally,"Alexandra Palace, Haringey",-0.12233000,51.59593600,0
Alness,Crawl Park,-4.25666900,57.69430600,0
Alvaston,Alvaston Park,-1.44017300,52.90617300,0
Andover,"Charlton Lakeside, Andover",-1.51276600,51.22109200,0
Antrim,Loughshore Park,-6.23881800,54.71707800,0
Armagh,Palace Demesne Public Park,-6.65295100,54.33981200,0
Armley,Armley Park,-1.59089300,53.80034700,0
Arrow Valley,Arrow Valley Country Park,-1.91033300,52.30784800,0
Ashford,Victoria Park,0.86421800,51.14347000,0
Ashton Court,"Ashton Court, Bristol",-2.63994800,51.44359200,0
Aviemore,Aviemore,-3.81863500,57.20527500,0
Aylesbury,Opposite the Quarrendeon & Meadowcroft C,-0.83839400,51.83162000,0
Ayr,Rozelle Park,-4.62431600,55.43618900,0
Babbs Mill,Babbs Mill Local Nature Reserve,-1.74603400,52.48983300,0
Bakewell,Hassop Station,-1.67528600,53.23078800,0
Banbury,Spiceball park,-1.33231800,52.06880700,0
Bangor,Ward Park,-5.66169300,54.66002400,0
Banstead Woods,"Banstead Woods, Coulsdon",-0.18422500,51.30764800,0
Barclay,Barclay Park,-0.01944200,51.75905600,0
Barking,Barking Park,0.08731200,51.54589400,0
Barnsley,"Locke Park, Barnsley",-1.48611500,53.54436900,0
Barnstaple,Rock Park,-4.05361200,51.07256100,0
Barrow,"Barrow Park, Barrow-in-Furness",-3.21885500,54.11770600,0
Barry Island,Barry Island Promenade,-3.27137100,51.39020200,0
Basildon,Northlands Park,0.49961500,51.57777800,0
Basingstoke,Basingstoke War Memorial Park,-1.08203500,51.25883100,0
Bath Skyline,Bath,-2.33842500,51.36471700,0
Beckenham Place,Beckenham Place Park,-0.00604200,51.41795200,0
Beckton,Beckton District Park South,0.04654200,51.51176000,0
Bedfont Lakes,Bedfont Lakes Country Park,-0.45152300,51.44076200,0
Bedford,"Bedford Park, Bedford",-0.45936600,52.14812500,0
Bedgebury Pinetum,Bedgebury National Pinetum & Forest,0.45016800,51.07187100,0
Bedworth,Miners Welfare Park,-1.47027000,52.47605400,0
Beeston,Weirfields Recreation Ground,-1.20173700,52.91359200,0
Belfast Victoria,"Victoria Park, Belfast",-5.88157300,54.60878500,0
